rental_id,booking_reference,customer_id,motorcycle_id,branch_pickup_id,branch_return_id,channel_id,payment_method_id,promo_id,booking_date_key,pickup_date_key,return_date_key,rental_days,daily_rate,subtotal,discount_amount,tax_amount,total_amount,deposit_amount,deposit_status,damage_fee,traffic_fines,status,created_at
73,RB000073,24,14,4,5,4,2,,20250818,20250822,20250826,4,99,396,0.0,83.16,479.16,500.0,released,0.0,0.0,completed,2025-07-20 12:00:00
74,RB000074,25,15,5,1,5,3,,20250818,20250823,20250828,5,106,530,0.0,111.3,641.3,500.0,released,0.0,0.0,completed,2025-07-19 12:00:00
75,RB000075,26,16,1,2,1,4,,20250818,20250824,20250830,6,113,678,0.0,142.38,820.38,500.0,released,0.0,0.0,completed,2025-07-18 12:00:00
76,RB000076,27,17,2,3,2,1,,20250818,20250825,20250901,7,120,840,0.0,176.4,1016.4,500.0,released,0.0,0.0,completed,2025-07-17 12:00:00
77,RB000077,28,18,3,4,3,2,3.0,20250818,20250826,20250903,8,85,680,102.0,121.38,699.38,500.0,held,0.0,0.0,active,2025-07-16 12:00:00
78,RB000078,29,19,4,5,4,3,,20250818,20250827,20250905,9,92,828,0.0,173.88,1001.88,500.0,released,0.0,0.0,completed,2025-07-15 12:00:00
79,RB000079,30,20,5,1,5,4,,20250818,20250828,20250907,10,99,990,0.0,207.9,1197.9,500.0,released,0.0,0.0,completed,2025-07-14 12:00:00
80,RB000080,31,1,1,2,1,1,,20250818,20250829,20250909,11,60,660,0.0,138.6,798.6,300.0,held,0.0,0.0,cancelled,2025-07-13 12:00:00
81,RB000081,32,2,2,3,2,2,,20250818,20250830,20250911,12,65,780,0.0,163.8,943.8,300.0,released,0.0,0.0,completed,2025-07-12 12:00:00
82,RB000082,33,3,3,4,3,3,,20250818,20250831,20250913,13,70,910,0.0,191.1,1101.1,300.0,released,0.0,0.0,completed,2025-07-11 12:00:00
83,RB000083,34,4,4,5,4,4,,20250818,20250901,20250915,14,75,1050,0.0,220.5,1270.5,300.0,released,0.0,0.0,completed,2025-07-10 12:00:00
84,RB000084,35,5,5,1,5,1,1.0,20250901,20250902,20250903,1,80,80,8.0,15.12,87.12,300.0,released,0.0,0.0,completed,2025-07-09 12:00:00
85,RB000085,36,6,1,2,1,2,,20250901,20250903,20250905,2,55,110,0.0,23.1,133.1,300.0,partially_used,80.0,0.0,completed,2025-07-08 12:00:00
86,RB000086,37,7,2,3,2,3,,20250901,20250904,20250907,3,60,180,0.0,37.8,217.8,300.0,released,0.0,0.0,completed,2025-07-07 12:00:00
87,RB000087,38,8,3,4,3,4,,20250901,20250905,20250909,4,65,260,0.0,54.6,314.6,300.0,partially_used,0.0,90.0,completed,2025-07-06 12:00:00
88,RB000088,39,9,4,5,4,1,,20250901,20250906,20250911,5,70,350,0.0,73.5,423.5,300.0,held,0.0,0.0,active,2025-07-05 12:00:00
89,RB000089,40,10,5,1,5,2,,20250901,20250907,20250913,6,75,450,0.0,94.5,544.5,300.0,released,0.0,0.0,completed,2025-07-04 12:00:00
90,RB000090,41,11,1,2,1,3,,20250901,20250908,20250915,7,80,560,0.0,117.6,677.6,300.0,released,0.0,0.0,completed,2025-07-03 12:00:00
91,RB000091,42,12,2,3,2,4,2.0,20250901,20250909,20250917,8,55,440,25.0,87.15,502.15,300.0,released,0.0,0.0,completed,2025-07-02 12:00:00
92,RB000092,43,13,3,4,3,1,,20250901,20250910,20250919,9,92,828,0.0,173.88,1001.88,500.0,released,0.0,0.0,completed,2025-07-01 12:00:00
93,RB000093,44,14,4,5,4,2,,20250901,20250911,20250921,10,99,990,0.0,207.9,1197.9,500.0,released,0.0,0.0,completed,2025-06-30 12:00:00
94,RB000094,45,15,5,1,5,3,,20250901,20250912,20250923,11,106,1166,0.0,244.86,1410.86,500.0,released,0.0,0.0,completed,2025-06-29 12:00:00
95,RB000095,46,16,1,2,1,4,,20250901,20250913,20250925,12,113,1356,0.0,284.76,1640.76,500.0,released,0.0,0.0,completed,2025-06-28 12:00:00
96,RB000096,47,17,2,3,2,1,,20250901,20250914,20250927,13,120,1560,0.0,327.6,1887.6,500.0,released,0.0,0.0,completed,2025-06-27 12:00:00
97,RB000097,48,18,3,4,3,2,,20250901,20250915,20250929,14,85,1190,0.0,249.9,1439.9,500.0,released,0.0,0.0,completed,2025-06-26 12:00:00
98,RB000098,49,19,4,5,4,3,3.0,20250915,20250916,20250917,1,92,92,13.8,16.42,94.62,500.0,released,0.0,0.0,completed,2025-06-25 12:00:00
99,RB000099,50,20,5,1,5,4,,20250915,20250917,20250919,2,99,198,0.0,41.58,239.58,500.0,held,0.0,0.0,no_show,2025-06-24 12:00:00
100,RB000100,1,1,1,2,1,1,,20250915,20250918,20250921,3,60,180,0.0,37.8,217.8,300.0,held,0.0,0.0,cancelled,2025-06-23 12:00:00
101,RB000101,2,2,2,3,2,2,,20250915,20250919,20250923,4,65,260,0.0,54.6,314.6,300.0,released,0.0,0.0,completed,2025-06-22 12:00:00
102,RB000102,3,3,3,4,3,3,,20250915,20250920,20250925,5,70,350,0.0,73.5,423.5,300.0,partially_used,45.0,0.0,completed,2025-06-21 12:00:00
103,RB000103,4,4,4,5,4,4,,20250604,20250610,20250616,6,75,450,0.0,94.5,544.5,300.0,released,0.0,0.0,completed,2025-06-20 12:00:00
104,RB000104,5,5,5,1,5,1,,20250604,20250611,20250618,7,80,560,0.0,117.6,677.6,300.0,released,0.0,0.0,completed,2025-06-19 12:00:00
105,RB000105,6,6,1,2,1,2,1.0,20250604,20250612,20250620,8,55,440,44.0,83.16,479.16,300.0,released,0.0,0.0,completed,2025-06-18 12:00:00
106,RB000106,7,7,2,3,2,3,,20250604,20250613,20250622,9,60,540,0.0,113.4,653.4,300.0,released,0.0,0.0,completed,2025-06-17 12:00:00
107,RB000107,8,8,3,4,3,4,,20250604,20250614,20250624,10,65,650,0.0,136.5,786.5,300.0,released,0.0,0.0,completed,2025-06-16 12:00:00
108,RB000108,9,9,4,5,4,1,,20250604,20250615,20250626,11,70,770,0.0,161.7,931.7,300.0,released,0.0,0.0,completed,2025-06-15 12:00:00
109,RB000109,10,10,5,1,5,2,,20250604,20250616,20250628,12,75,900,0.0,189.0,1089.0,300.0,released,0.0,0.0,completed,2025-06-14 12:00:00
110,RB000110,11,11,1,2,1,3,,20250604,20250617,20250630,13,80,1040,0.0,218.4,1258.4,300.0,held,0.0,0.0,active,2025-06-13 12:00:00
111,RB000111,12,12,2,3,2,4,,20250604,20250618,20250702,14,55,770,0.0,161.7,931.7,300.0,released,0.0,0.0,completed,2025-06-12 12:00:00
112,RB000112,13,13,3,4,3,1,2.0,20250618,20250619,20250620,1,92,92,25.0,14.07,81.07,500.0,released,0.0,0.0,completed,2025-06-11 12:00:00
113,RB000113,14,14,4,5,4,2,,20250618,20250620,20250622,2,99,198,0.0,41.58,239.58,500.0,released,0.0,0.0,completed,2025-06-10 12:00:00
114,RB000114,15,15,5,1,5,3,,20250618,20250621,20250624,3,106,318,0.0,66.78,384.78,500.0,released,0.0,0.0,completed,2025-06-09 12:00:00
115,RB000115,16,16,1,2,1,4,,20250618,20250622,20250626,4,113,452,0.0,94.92,546.92,500.0,released,0.0,0.0,completed,2025-06-08 12:00:00
116,RB000116,17,17,2,3,2,1,,20250618,20250623,20250628,5,120,600,0.0,126.0,726.0,500.0,partially_used,0.0,90.0,completed,2025-06-07 12:00:00
117,RB000117,18,18,3,4,3,2,,20250618,20250624,20250630,6,85,510,0.0,107.1,617.1,500.0,released,0.0,0.0,completed,2025-06-06 12:00:00
118,RB000118,19,19,4,5,4,3,,20250618,20250625,20250702,7,92,644,0.0,135.24,779.24,500.0,released,0.0,0.0,completed,2025-06-05 12:00:00
119,RB000119,20,20,5,1,5,4,3.0,20250618,20250626,20250704,8,99,792,118.8,141.37,814.57,500.0,partially_used,115.0,0.0,completed,2025-06-04 12:00:00
120,RB000120,21,1,1,2,1,1,,20250618,20250627,20250706,9,60,540,0.0,113.4,653.4,300.0,held,0.0,0.0,cancelled,2025-06-03 12:00:00
121,RB000121,22,2,2,3,2,2,,20250618,20250628,20250708,10,65,650,0.0,136.5,786.5,300.0,held,0.0,0.0,active,2025-06-02 12:00:00
122,RB000122,23,3,3,4,3,3,,20250618,20250629,20250710,11,70,770,0.0,161.7,931.7,300.0,released,0.0,0.0,completed,2025-06-01 12:00:00
123,RB000123,24,4,4,5,4,4,,20250618,20250630,20250712,12,75,900,0.0,189.0,1089.0,300.0,released,0.0,0.0,completed,2025-05-31 12:00:00
124,RB000124,25,5,5,1,5,1,,20250618,20250701,20250714,13,80,1040,0.0,218.4,1258.4,300.0,released,0.0,0.0,completed,2025-05-30 12:00:00
125,RB000125,26,6,1,2,1,2,,20250618,20250702,20250716,14,55,770,0.0,161.7,931.7,300.0,released,0.0,0.0,completed,2025-05-29 12:00:00
126,RB000126,27,7,2,3,2,3,1.0,20250702,20250703,20250704,1,60,60,6.0,11.34,65.34,300.0,released,0.0,0.0,completed,2025-05-28 12:00:00
127,RB000127,28,8,3,4,3,4,,20250702,20250704,20250706,2,65,130,0.0,27.3,157.3,300.0,released,0.0,0.0,completed,2025-05-27 12:00:00
128,RB000128,29,9,4,5,4,1,,20250702,20250705,20250708,3,70,210,0.0,44.1,254.1,300.0,released,0.0,0.0,completed,2025-05-26 12:00:00
129,RB000129,30,10,5,1,5,2,,20250702,20250706,20250710,4,75,300,0.0,63.0,363.0,300.0,released,0.0,0.0,completed,2025-05-25 12:00:00
130,RB000130,31,11,1,2,1,3,,20250702,20250707,20250712,5,80,400,0.0,84.0,484.0,300.0,released,0.0,0.0,completed,2025-05-24 12:00:00
131,RB000131,32,12,2,3,2,4,,20250702,20250708,20250714,6,55,330,0.0,69.3,399.3,300.0,released,0.0,0.0,completed,2025-05-23 12:00:00
132,RB000132,33,13,3,4,3,1,,20250702,20250709,20250716,7,92,644,0.0,135.24,779.24,500.0,held,0.0,0.0,no_show,2025-05-22 12:00:00
133,RB000133,34,14,4,5,4,2,2.0,20250702,20250710,20250718,8,99,792,25.0,161.07,928.07,500.0,released,0.0,0.0,completed,2025-05-21 12:00:00
134,RB000134,35,15,5,1,5,3,,20250702,20250711,20250720,9,106,954,0.0,200.34,1154.34,500.0,released,0.0,0.0,completed,2025-05-20 12:00:00
135,RB000135,36,16,1,2,1,4,,20250702,20250712,20250722,10,113,1130,0.0,237.3,1367.3,500.0,released,0.0,0.0,completed,2025-05-19 12:00:00
136,RB000136,37,17,2,3,2,1,,20250702,20250713,20250724,11,120,1320,0.0,277.2,1597.2,500.0,partially_used,80.0,0.0,completed,2025-05-18 12:00:00
137,RB000137,38,18,3,4,3,2,,20250702,20250714,20250726,12,85,1020,0.0,214.2,1234.2,500.0,released,0.0,0.0,completed,2025-05-17 12:00:00
138,RB000138,39,19,4,5,4,3,,20250702,20250715,20250728,13,92,1196,0.0,251.16,1447.16,500.0,released,0.0,0.0,completed,2025-05-16 12:00:00
139,RB000139,40,20,5,1,5,4,,20250702,20250716,20250730,14,99,1386,0.0,291.06,1677.06,500.0,released,0.0,0.0,completed,2025-05-15 12:00:00
140,RB000140,41,1,1,2,1,1,3.0,20250716,20250717,20250718,1,60,60,9.0,10.71,61.71,300.0,held,0.0,0.0,cancelled,2025-05-14 12:00:00
141,RB000141,42,2,2,3,2,2,,20250716,20250718,20250720,2,65,130,0.0,27.3,157.3,300.0,released,0.0,0.0,completed,2025-05-13 12:00:00
142,RB000142,43,3,3,4,3,3,,20250716,20250719,20250722,3,70,210,0.0,44.1,254.1,300.0,released,0.0,0.0,completed,2025-05-12 12:00:00
143,RB000143,44,4,4,5,4,4,,20250716,20250720,20250724,4,75,300,0.0,63.0,363.0,300.0,held,0.0,0.0,active,2025-05-11 12:00:00
144,RB000144,45,5,5,1,5,1,,20250716,20250721,20250726,5,80,400,0.0,84.0,484.0,300.0,released,0.0,0.0,completed,2025-05-10 12:00:00
145,RB000145,46,6,1,2,1,2,,20250716,20250722,20250728,6,55,330,0.0,69.3,399.3,300.0,partially_used,0.0,90.0,completed,2025-05-09 12:00:00
146,RB000146,47,7,2,3,2,3,,20250716,20250723,20250730,7,60,420,0.0,88.2,508.2,300.0,released,0.0,0.0,completed,2025-05-08 12:00:00
147,RB000147,48,8,3,4,3,4,1.0,20250716,20250724,20250801,8,65,520,52.0,98.28,566.28,300.0,released,0.0,0.0,completed,2025-05-07 12:00:00
148,RB000148,49,9,4,5,4,1,,20250716,20250725,20250803,9,70,630,0.0,132.3,762.3,300.0,released,0.0,0.0,completed,2025-05-06 12:00:00
149,RB000149,50,10,5,1,5,2,,20250716,20250726,20250805,10,75,750,0.0,157.5,907.5,300.0,released,0.0,0.0,completed,2025-05-05 12:00:00
150,RB000150,1,11,1,2,1,3,,20250716,20250727,20250807,11,80,880,0.0,184.8,1064.8,300.0,released,0.0,0.0,completed,2025-05-04 12:00:00
151,RB000151,2,12,2,3,2,4,,20250716,20250728,20250809,12,55,660,0.0,138.6,798.6,300.0,released,0.0,0.0,completed,2025-05-03 12:00:00
152,RB000152,3,13,3,4,3,1,,20250716,20250729,20250811,13,92,1196,0.0,251.16,1447.16,500.0,released,0.0,0.0,completed,2025-05-02 12:00:00
153,RB000153,4,14,4,5,4,2,,20250716,20250730,20250813,14,99,1386,0.0,291.06,1677.06,500.0,partially_used,45.0,0.0,completed,2025-05-01 12:00:00
154,RB000154,5,15,5,1,5,3,2.0,20250730,20250731,20250801,1,106,106,25.0,17.01,98.01,500.0,held,0.0,0.0,active,2025-04-30 12:00:00
155,RB000155,6,16,1,2,1,4,,20250730,20250801,20250803,2,113,226,0.0,47.46,273.46,500.0,released,0.0,0.0,completed,2025-04-29 12:00:00
156,RB000156,7,17,2,3,2,1,,20250730,20250802,20250805,3,120,360,0.0,75.6,435.6,500.0,released,0.0,0.0,completed,2025-04-28 12:00:00
157,RB000157,8,18,3,4,3,2,,20250730,20250803,20250807,4,85,340,0.0,71.4,411.4,500.0,released,0.0,0.0,completed,2025-04-27 12:00:00
158,RB000158,9,19,4,5,4,3,,20250730,20250804,20250809,5,92,460,0.0,96.6,556.6,500.0,released,0.0,0.0,completed,2025-04-26 12:00:00
159,RB000159,10,20,5,1,5,4,,20250730,20250805,20250811,6,99,594,0.0,124.74,718.74,500.0,released,0.0,0.0,completed,2025-04-25 12:00:00
160,RB000160,11,1,1,2,1,1,,20250730,20250806,20250813,7,60,420,0.0,88.2,508.2,300.0,held,0.0,0.0,cancelled,2025-04-24 12:00:00
